,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Binned 1st Semester,Binned 2nd Semester
50,1,12,1,11,1,1,1,1,1,1,1,0,0,0,1,0,1,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,Average GPA,Above Average GPA
53,1,1,3,8,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,Above Average GPA,Above Average GPA
54,1,12,1,17,0,1,1,1,1,1,1,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,Low GPA,Low GPA
55,1,1,1,12,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,Average GPA,Average GPA
56,2,4,1,11,1,3,1,2,2,2,2,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,Very Low GPA,Very Low GPA
57,1,12,1,8,1,15,1,1,1,1,1,1,0,0,1,0,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,Average GPA,Average GPA
58,1,8,1,12,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,Above Average GPA,Above Average GPA
60,1,1,2,12,1,1,1,1,1,1,1,0,0,0,1,0,0,18,0,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate,Average GPA,Average GPA
61,1,15,1,10,1,14,1,1,1,1,1,0,0,0,1,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
65,4,13,1,12,1,12,1,4,4,4,4,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,Low GPA,Low GPA
66,1,1,3,2,1,1,1,1,1,1,1,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,Very Low GPA,Very Low GPA
67,1,15,1,4,1,14,1,1,1,1,1,1,0,0,1,1,0,23,0,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
68,1,1,3,9,1,1,1,1,1,1,1,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,Low GPA,Low GPA
71,1,8,1,12,1,1,1,1,1,1,1,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,Low GPA,Average GPA
72,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,Very Low GPA,Very Low GPA
73,1,8,4,11,1,1,1,1,1,1,1,1,0,0,1,1,0,18,0,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,Low GPA,Average GPA
74,1,1,2,15,1,1,1,1,1,1,1,1,0,0,1,1,0,18,0,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
75,1,8,3,9,1,1,1,1,1,1,1,1,0,1,1,1,0,18,0,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout,Low GPA,Low GPA
76,1,9,4,11,1,1,1,1,1,1,1,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,Low GPA,Low GPA
77,1,8,4,15,1,1,1,1,1,1,1,1,0,1,1,1,1,19,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
78,1,8,4,12,1,1,1,1,1,1,1,0,0,0,1,1,1,22,0,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate,Above Average GPA,Above Average GPA
79,2,12,1,3,0,1,1,2,2,2,2,0,0,0,1,1,0,33,0,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate,Average GPA,Low GPA
80,1,1,6,16,1,1,1,1,1,1,1,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,Average GPA,Average GPA
81,1,12,1,17,0,2,1,1,1,1,1,1,0,0,1,1,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,Very Low GPA,Very Low GPA
82,1,12,1,4,1,4,1,1,1,1,1,0,0,1,1,1,0,24,0,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout,Average GPA,Average GPA
84,2,12,1,3,0,1,1,2,2,2,2,1,0,0,1,0,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate,Low GPA,Low GPA
85,1,13,1,12,1,1,1,1,1,1,1,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
86,1,12,1,14,1,1,1,1,1,1,1,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate,Low GPA,Low GPA
87,1,8,1,5,1,1,1,1,1,1,1,1,0,0,1,1,0,20,0,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate,Low GPA,Low GPA
90,1,12,1,12,1,1,1,1,1,1,1,0,0,0,1,1,0,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,Very Low GPA,Very Low GPA
91,1,8,2,15,1,1,14,1,1,1,1,1,0,0,0,0,0,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate,Above Average GPA,Average GPA
92,1,6,1,8,1,1,14,1,1,1,1,0,0,0,1,0,0,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,Average GPA,Very Low GPA
93,2,12,1,16,1,8,1,2,2,2,2,0,0,0,1,0,0,39,0,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout,Average GPA,Very Low GPA
94,2,12,1,3,0,1,1,2,2,2,2,0,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate,Low GPA,Average GPA
96,1,1,5,15,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
97,1,1,5,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,Graduate,Average GPA,Above Average GPA
99,1,1,4,12,1,1,1,1,1,1,1,1,0,1,0,0,0,19,0,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,Low GPA,Very Low GPA
100,1,17,1,6,1,16,1,1,1,1,1,0,0,0,1,0,0,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout,Average GPA,Average GPA
101,1,1,4,2,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduate,Very Low GPA,Very Low GPA
102,2,12,1,3,0,1,1,2,2,2,2,1,0,0,1,0,0,36,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Very Low GPA,Very Low GPA
103,4,12,1,4,1,9,1,4,4,4,4,0,0,0,1,0,0,43,0,13,18,19,18,14.63157894736842,0,10,13,14,13,14.23076923076923,1,15.5,2.8,-4.06,Graduate,Above Average GPA,Above Average GPA
104,1,9,1,16,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout,Very Low GPA,Very Low GPA
105,1,16,1,5,1,1,1,1,1,1,1,0,0,1,1,0,0,20,0,4,10,12,10,13.0,0,5,11,11,11,12.272727272727272,0,11.1,0.6,2.02,Graduate,Average GPA,Average GPA
106,1,1,2,10,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout,Very Low GPA,Very Low GPA
107,1,1,1,6,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Dropout,Above Average GPA,Average GPA
108,1,1,5,12,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,2,7,9,6,13.266666666666666,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Dropout,Average GPA,Average GPA
110,1,1,1,10,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,8,6,13.857142857142858,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,Graduate,Average GPA,Above Average GPA
112,1,1,1,6,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
113,1,1,3,15,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,12.666666666666666,0,0,6,7,6,12.571428571428571,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
114,1,8,2,12,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,7,7,6,12.516666666666666,1,0,7,7,6,12.516666666666666,1,7.6,2.6,0.32,Dropout,Average GPA,Average GPA
118,1,1,2,6,1,1,1,1,1,1,1,0,0,0,1,0,0,18,0,0,5,12,5,13.142857142857142,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,Graduate,Average GPA,Low GPA
119,1,1,1,9,1,1,1,1,1,1,1,0,0,0,1,0,0,18,0,0,5,5,5,12.6,0,0,5,5,5,14.0,0,11.1,0.6,2.02,Graduate,Average GPA,Above Average GPA
120,1,8,1,11,1,1,1,1,1,1,1,1,0,0,1,0,0,21,0,0,6,12,3,11.0,0,0,6,12,2,11.0,0,9.4,-0.8,-3.12,Dropout,Low GPA,Low GPA
121,1,1,2,9,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,5,8,5,10.8,0,0,5,9,4,11.25,2,16.2,0.3,-0.92,Graduate,Low GPA,Low GPA
122,1,1,1,2,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,Very Low GPA,Very Low GPA
123,1,1,1,14,1,1,1,1,1,1,1,0,0,0,1,0,1,19,0,0,5,5,5,12.8,0,0,5,5,5,14.2,0,9.4,-0.8,-3.12,Graduate,Average GPA,Above Average GPA
124,1,1,1,6,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,6,15,6,14.166666666666666,0,0,6,13,6,12.2,0,15.5,2.8,-4.06,Graduate,Above Average GPA,Average GPA
125,1,8,6,13,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,7,12,5,12.1,0,0,7,0,0,0.0,0,13.9,-0.3,0.79,Dropout,Average GPA,Very Low GPA
126,1,15,1,6,1,14,1,1,1,1,1,1,0,0,1,0,0,20,0,1,6,7,6,14.166666666666666,0,1,6,17,5,13.77777777777778,0,12.4,0.5,1.79,Graduate,Above Average GPA,Average GPA
128,1,8,3,10,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,7,6,13.0,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduate,Average GPA,Average GPA
129,1,8,6,12,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,7,7,7,13.467142857142855,0,0,8,9,8,15.011111111111113,0,12.4,0.5,1.79,Graduate,Average GPA,Above Average GPA
130,1,1,3,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,7,9,7,13.2375,0,0,8,9,7,13.742857142857144,0,13.9,-0.3,0.79,Dropout,Average GPA,Average GPA
131,1,8,2,5,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Graduate,Average GPA,Average GPA
132,1,1,4,9,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,5,7,5,12.4,0,0,5,5,5,14.6,0,8.9,1.4,3.51,Graduate,Average GPA,Above Average GPA
133,1,8,6,12,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,7,8,5,14.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,Above Average GPA,Very Low GPA
134,1,14,1,10,1,1,1,1,1,1,1,0,0,0,1,0,0,20,0,5,9,15,9,11.666666666666666,0,2,7,8,7,11.714285714285714,0,7.6,2.6,0.32,Graduate,Low GPA,Low GPA
135,1,1,1,14,1,1,1,1,1,1,1,0,0,1,0,0,1,19,0,0,6,7,5,12.0,0,0,6,9,4,12.5,0,12.4,0.5,1.79,Dropout,Average GPA,Average GPA
136,1,8,1,14,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,5,7,4,12.2,0,0,5,5,4,11.5,0,7.6,2.6,0.32,Graduate,Average GPA,Low GPA
137,1,1,1,15,1,1,1,1,1,1,1,0,0,1,1,0,1,18,0,0,6,6,6,14.833333333333334,0,0,6,6,6,14.833333333333334,0,8.9,1.4,3.51,Graduate,Above Average GPA,Above Average GPA
139,1,9,1,12,1,1,1,1,1,1,1,0,0,0,1,0,0,18,0,0,7,8,7,17.125,0,0,8,8,8,17.5875,0,13.9,-0.3,0.79,Graduate,High GPA,High GPA
140,1,1,5,12,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,7,7,6,12.666666666666666,0,0,7,7,6,12.666666666666666,0,7.6,2.6,0.32,Graduate,Average GPA,Average GPA
141,1,1,6,15,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,6,8,6,12.666666666666666,0,0,6,10,5,12.0,0,12.4,0.5,1.79,Graduate,Average GPA,Average GPA
143,1,1,3,10,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,6,7,6,11.333333333333334,0,0,6,6,6,11.5,0,12.4,0.5,1.79,Graduate,Low GPA,Low GPA
144,1,1,3,12,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,7,10,7,13.605,0,0,8,11,8,12.33125,0,15.5,2.8,-4.06,Graduate,Average GPA,Average GPA
145,1,8,5,16,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,6,10,5,12.0,0,0,6,9,5,10.8,0,9.4,-0.8,-3.12,Graduate,Average GPA,Low GPA
146,1,1,4,11,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,5,10,0,0.0,0,0,5,10,0,0.0,0,7.6,2.6,0.32,Dropout,Very Low GPA,Very Low GPA
147,1,8,1,11,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,6,8,5,11.2,0,0,6,12,3,11.666666666666666,0,7.6,2.6,0.32,Dropout,Low GPA,Low GPA
148,1,1,1,9,1,1,1,1,1,1,1,0,0,0,1,0,0,18,0,0,5,10,5,13.375,0,0,5,9,5,14.166666666666666,0,13.9,-0.3,0.79,Graduate,Average GPA,Above Average GPA
149,1,1,1,12,1,1,1,1,1,1,1,0,0,0,1,0,1,20,0,0,7,8,6,13.863333333333337,0,0,8,9,7,14.178571428571429,0,11.1,0.6,2.02,Graduate,Average GPA,Above Average GPA
151,1,1,1,6,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,5,6,5,12.4,0,0,5,6,5,13.4,0,7.6,2.6,0.32,Graduate,Average GPA,Average GPA
153,1,1,1,16,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,7,6,13.333333333333334,0,0,6,8,5,11.8,0,7.6,2.6,0.32,Graduate,Average GPA,Low GPA
154,1,14,1,16,1,1,1,1,1,1,1,1,0,0,1,0,0,21,0,0,6,10,3,12.666666666666666,0,0,6,12,3,10.0,0,9.4,-0.8,-3.12,Dropout,Average GPA,Low GPA
155,1,1,1,16,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,6,8,6,12.0,0,0,6,10,4,11.5,0,7.6,2.6,0.32,Dropout,Average GPA,Low GPA
156,1,1,1,9,1,1,1,1,1,1,1,0,0,0,1,0,1,18,0,0,5,5,5,10.6,0,0,5,5,5,11.8,0,12.4,0.5,1.79,Graduate,Low GPA,Low GPA
157,1,8,2,10,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,6,8,6,12.25,0,0,6,7,6,11.857142857142858,0,12.7,3.7,-1.7,Graduate,Average GPA,Low GPA
158,1,1,3,10,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,6,10,4,11.0,0,0,6,9,6,11.833333333333334,0,9.4,-0.8,-3.12,Graduate,Low GPA,Low GPA
159,1,12,1,3,0,1,1,1,1,1,1,0,0,0,1,0,1,24,0,0,6,11,5,11.0,0,0,6,9,5,12.6,0,11.1,0.6,2.02,Graduate,Low GPA,Average GPA
160,1,1,1,14,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,6,6,6,13.166666666666666,0,0,6,9,6,13.0,0,10.8,1.4,1.74,Dropout,Average GPA,Average GPA
161,1,1,1,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,7,9,7,12.855555555555554,0,0,8,12,7,12.761111111111113,0,15.5,2.8,-4.06,Graduate,Average GPA,Average GPA
